"","ITER_CNT","ACT_HIGH","ACT_LOW","VER_HIGH","VER_LOW","PLS_SND","PLS_REC","ACT_DUR","VER_DUR","VER_DEL","REC_SND_DIFF"
"15",14,13465.366724,13589.502722,13465.366728,13589.502729,21972072.177,10000000,124.135998,124.136000999999,4.00000135414302e-06,45.5123209110329
"16",15,13590.503278,13715.70008,13590.503281,13715.700084,22159834.131,10000000,125.196802,125.196803000001,2.99999919661786e-06,45.1266915667511
"17",16,13716.700654,13839.857477,13716.700658,13839.857481,21798757.671,10000000,123.156822999999,123.156822999999,3.99999953515362e-06,45.8741738906686
"18",17,13840.857689,13965.685288,13840.857693,13965.685292,22094485.023,10000000,124.827599,124.827599,3.99999953515362e-06,45.2601632922884
"19",18,13966.68594,14091.442286,13966.685944,14091.442294,22081873.95,10000000,124.756346,124.75635,4.00000135414302e-06,45.2860116068184
"20",19,14092.442848,14215.631174,14092.442851,14215.631177,21804333.702,10000000,123.188326,123.188326,2.99999919661786e-06,45.8624424697864
"21",20,14216.631714,14339.324047,14216.631717,14339.324051,21716543.118,10000000,122.692333000001,122.692333999999,3.00000101560727e-06,46.0478444735129
"22",21,14340.324583,14463.388754,14340.324587,14463.388762,21782358.975,10000000,123.064171,123.064175000001,3.99999953515362e-06,45.9087099403567
"23",22,14464.389346,14586.781456,14464.38935,14586.78146,21663403.47,10000000,122.392110000001,122.392110000001,3.99999953515362e-06,46.1607983890816
"24",23,14587.782037,14714.499593,14587.782041,14714.499598,22429007.589,10000000,126.717556,126.717557,3.99999953515362e-06,44.5851202302164
"25",24,14715.500132,14843.34813,14715.500135,14843.348135,22629096,10000000,127.847998000001,127.848,3.00000101560727e-06,44.1908947666314
"26",25,14844.348728,14973.221414,14844.348733,14973.221422,22810465.953,10000000,128.872685999999,128.872689,4.99999987368938e-06,43.8395253328212
"27",26,14974.221986,15102.225028,14974.221991,15102.225035,22656538.788,10000000,128.003042,128.003043999999,4.99999987368938e-06,44.1373684373029
"28",27,15103.225607,15232.333786,15103.225611,15232.333792,22852148.037,10000000,129.108178999999,129.108181,3.99999953515362e-06,43.7595624875568
"29",28,15233.334325,15369.73057,15233.334329,15369.730574,24142135.365,10000000,136.396245,136.396245,3.99999953515362e-06,41.4213566812216
"30",29,15370.73071,15497.735643,15370.730714,15497.735647,22479873.141,10000000,127.004933,127.004933,3.99999953515362e-06,44.4842367983005
"31",30,15498.73578,15624.883379,15498.735784,15624.883383,22328125.023,10000000,126.147599,126.147599,3.99999953515362e-06,44.7865639846565
"32",31,15625.883515,15752.530876,15625.883519,15752.530884,22416583.605,10000000,126.647361000001,126.647364999999,4.00000135414302e-06,44.6098307226865
"33",32,15753.531369,15879.4529,15753.531371,15879.452907,22288111.872,10000000,125.921531,125.921536000002,1.99999885808211e-06,44.8669679039199
"34",33,15880.45353,16006.052421,15880.453533,16006.052425,22231003.884,10000000,125.598891,125.598892,2.99999919661786e-06,44.9822241594639
"35",34,16007.052557,16129.892971,16007.05256,16129.892975,21742753.455,10000000,122.840413999998,122.840415000001,2.99999919661786e-06,45.9923349666663
"36",35,16130.893442,16252.444704,16130.893446,16252.444708,21514573.374,10000000,121.551261999999,121.551262000001,3.99999953515362e-06,46.4801222230362
"37",36,16253.445329,16375.636907,16253.445333,16375.636914,21627909.837,10000000,122.191578,122.191581000001,3.99999953515362e-06,46.2365530250754
"38",37,16376.637383,16499.196311,16376.637387,16499.196318,21692930.787,10000000,122.558928,122.558930999998,4.00000135414302e-06,46.0979666518493
"39",38,16500.196743,16621.589748,16500.196747,16621.589752,21486561.885,10000000,121.393004999998,121.393004999998,4.00000135414302e-06,46.5407171864993
"40",39,17977.787147,18108.238503,17977.787152,18108.238507,23089889.835,10000000,130.451356000001,130.451354999997,5.00000169267878e-06,43.3089983168384
"41",40,18109.238637,18246.023145,18109.238641,18246.023151,24210858.27,10000000,136.784508000001,136.784510000001,4.00000135414302e-06,41.3037815036534
"42",41,18247.023649,18371.189623,18247.023653,18371.189627,21977377.398,10000000,124.165974,124.165974,4.00000135414302e-06,45.5013344809287
"43",42,18372.190091,18495.827846,18372.190095,18495.827852,21883882.989,10000000,123.637755,123.637756999997,4.00000135414302e-06,45.6957296153819
